number of cases,location_CN,location_ENG
16,芜湖市,"('Wuhu', 'Anhui')"
17,福州市,"('Fuzhou', 'Fujian')"
18,佛山市,"('Foshan', 'Guangdong')"
18,安庆市,"('Anqing', 'Anhui')"
20,武汉市,"('Wuhan', 'Hubei')"
21,南宁市,"('Nanning', 'Guangxi')"
21,厦门市,"('Xiamen', 'Fujian')"
21,沈阳市,"('Shenyang', 'Liaoning')"
21,济南市,"('Jinan', 'Shandong')"
22,深圳市,"('Shenzhen', 'Guangdong')"
24,成都市,"('Chengdu', 'Sichuan')"
24,泉州市,"('Quanzhou', 'Fujian')"
25,温州市,"('Wenzhou', 'Zhejiang')"
25,苏州市,"('Suzhou', 'Jiangsu')"
27,大连市,"('Dalian', 'Liaoning')"
30,西安市,"(""Xi'an"", 'Shaanxi')"
37,杭州市,"('Hangzhou', 'Zhejiang')"
37,重庆市,"('Chongqing', 'Chongqing')"
40,广州市,"('Guangzhou', 'Guangdong')"
42,上海市,"('Shanghai', 'Shanghai')"
44,合肥市,"('Hefei', 'Anhui')"
48,南京市,"('Nanjing', 'Jiangsu')"
88,北京市,"('Beijing', 'Beijing')"
