,城市,City,Household Registered Population at Year-end (10 000 persons),Annual Average Population (10 000 persons),Number of Households at Year-end (10 000 households),Birth Population (person),Death Population (person),Natural Growth Rate(%),Total Land Area of Administrative region （sq.km）,Total Water Resources （10 000 cu.m）,Area of Land Used for Urban Construction (sq.km),Area of Land Used for Living,Land Used for Urban Construction as Percentage to Urban Area (%),Area of Green Land (hectare),Area of Parks Green Land,Green Covered Area as % of Built-up Area (%),Volume of Industrial Waste Water Discharged (10 000 tons),Volume of Industrial Sulphur Dioxide Emission (ton),Volume of Industrial Nitrogen Dioxide Emission (ton),Volume of Industrial  Soot(dust) Emission (ton),Ratio of Industrial Solid Wastes Comprehensively Utilized (%),Annual Mean Concentration ofPM2.5 (ug/m3),Ratio of waste Water Centralized Treated of Sewage Work (%),Ratio of Consumption Wastes Treated (%),Gross Regional Product (Current Prices) (100 000 yuan),Per Capita GRP (yuan),GRP Growth Rate (%),Primary Industry as Percentage to GRP,Secondary Industry as Percentage to GRP,Tertiary Industry as Percentage to GRP,Local General public budget revenue,Local General public budget Expenditure,Expenditure for Science and Technology,Expenditure for Education,Local General public budget revenue.1,Local General public budget Expenditure.1,Expenditure for Science and Technology.1,Expenditure for Education.1,Deposits of National Banking System at Year-end,Household Saving Deposits at Year-end,Loans of National Banking System at Year-end,Investment in Real Estate Development,Residential Buildings,Sales Area of Commercial Residential Building,Residential Buildings.1,Area for Sale,Import Volumeof goods (10 OOOyuan),Number of Projects for Contracted Foreign Direct Investment (unit),Amount of Foreign Capital Actually Utilized (USD 10000),Number of Industrial Enterprises,Domestic Funded,"Enterprises with Funds from Hong Kong, Macao and Taiwan",Foreign Funded Enterprises,Total Current Assets,Total Fixed Assets,Tax and Extra Charges from Principal Business,Value-added Tax Payable,Total Profits,Total Retail Sales of Consumer Goods (10 000 yuan),Number of Enterprises above Designated Size of Wholesale and Retail Trades (Number of Legal Entities) (unit),Total Sales of Commodities of Enterprises above Designated Size in Wholesale and Retail Trades (10 000 yuan),R&D Personnel (Person),R&D Internal Outlay (10 000 yuan),Number of Patent Applications (piece),Number of Patent Authorizations (piece),Invention (piece),Persons Employed in Urban Units at Ycar-end,Persons Employed in Private Enterprises and Self-Employed Individuals in Urban Areas,Registered Unemployed Persons in Urban Areas,Primary Industry,Secondary Industry,Tertiary Industry,Primary Industry.1,Secondary Industry.1,Tertiary Industry.1,Primary Industry.2,Secondary Industry: Mining,Unnamed: 87,Manufacturing,"Production and Distribution of Electricity, Gas and Water",Construction,Wholesale and Retail Trades,"Traffic,Transport, Storage and Post",Hotels and Catering Services,"Information Transmission, Computer Services and Software",Financial Intermediation,Unnamed: 103,Real Estate,Leasing and Business Services,Scientific Research and Technical Service,"Management of Water Conservancy, Environment",Services to Households and Other Services,Education,Health and Social Work,"Culture, Sports and Entertainment","Public Management, Social Security and Social Organization",Average Number of Employed Staff and Workers (10 000 persons),Total Wage Bill of Employed Staff and Workers (10 000 yuan),Average Wage of Employed Staff and Workers (yuan),Regular Institutions of Higher Education,Vocational Secondary Schools,Regular Secondary Schools,Regular Primary Schools,Regular Institutions of Higher Education.1,Vocational Secondary Schools.1,Regular Secondary Schools.1,Regular Primary Schools.1,Undergraduate in Regular HEIs,Vocational Secondary Schools.2,Regular Secondary Schools.2,Regular Primary Schools.2,Collections of Public Libraries (10 000 copies),Number of Museums (unit),Number of Stadiums and Gymnasiums (unit),Number of Hospitals (unit),Number of Beds of Hospitals (bed),Number of Licensed (Assistant) Doctors (person),Number of Employees Joining Urban Basic Pension Insurance,Number of Employees Joining Urban Basic Medical Care System,Persons Covered of Unemployment Insurance,Investment in Municipal Public Infrastructure Construction （10 000 yuan）,Area of City Paved Roads at Year-end （10 000 sq.m）,Length of City Sewage Pipes （km）,Number of Buses and Trolley Buses under Operation at Year-end （unit）,Total Annual Volume of Passengers Transported by Buses and Trolley Buses （10 000 person-times）,Number of Taxis under Operation at Year-end （unit）,Highway Passenger Traffic,Waterway Passenger Traffic,Civil Aviation Passenger Traffic,"Highway Freight Traffic
(10 000 tons)","Waterway Freight Traffic
(10 000 tons)",Civil Aviation Freight Traffic (ton),Revenue from Postal Services (10 000 yuan),Revenue from Telecommunication Services (10 000 yuan),Number of Subscribers of Mobile Telephones at Year-end (10 000 households),Number of Subscribers of Internet Services (10 000 households),Annual Electricity Consumption (10 000 kwh),Electricity Consumption fbr Industrial,Household Electricity Consumption for Urban and Rural Residential,"Total Gas Supply (Coal Gas,Natural Gas) (10 000 cubic meters)",Consumption of Gas for Residential Use,Liquefied Petroleum Gas Supply (ton),Consumption of Liquefied Petroleum Gas fbr Residential Use
121,攀枝花市,Panzhihua,108,109,37,10916,6612,3.97,7401,507280,77.0,21.0,3.82,2981.0,868.0,40.47,4668.0,44895.0,213.0,35016.0,19.58,36.0,46.08,100.0,11735238,94941,,3.39,62.3,34.31,615026.0,1379392.0,12494.0,253007.0,454990.0,1039671.0,11870.0,181056.0,10417926,6588985,8046962,1004099,728896,158,130,48,180102,,13600,325,319,,,7068944,,99492,623678,1510272,3612644,164,3712988,3125.0,114630,2865.0,1219.0,280.0,286972,,14506,3259,154472,,1.14,53.83,,3259,34907,57283,75327,6064,38174,129241,25451,9615,6167,3589,11756,9189,7358,5876,5978,2616,,14893,10298,1740,15,2436256,86749,2,4,52,60,1221,,5151,4891,26617,10337,6,7,99,3,21,31,9404,2663,308012,427466,172258,1984.0,,91.0,637.0,10496.0,1416.0,2079.0,38.0,39,10740.0,20.0,1331.0,,,157.0,45.0,1229825,1081432,46011,115.0,48.0,845.0,639.0
122,广元市,Guangyuan,301,302,115,28841,27932,0.3,16319,995500,59.0,14.0,1.29,2417.0,684.0,39.3,511.0,3223.0,5999.0,3806.0,99.6,27.0,93.81,100.0,8018500,30105,8.4,14.73,44.72,40.56,476907.0,2770144.0,8832.0,396617.0,307911.0,1324107.0,4391.0,171419.0,14800560,9806641,8145356,848933,577387,214,172,111,17178,2,2305,486,480,1,5,2453980,3892723,93451,245972,818044,4053316,162,1700741,2010.0,36176,1466.0,931.0,44.0,171856,276107,14727,489,49440,121927,0.28,28.77,70.95,489,5513,4706,9917,3808,30202,3476,6518,800,3601,10750,8071,2278,2266,1618,7247,257,24983,18263,1119,38751,14,1068719,74338,2,12,154,264,642,1141,10442,11555,14939,18843,12,15,152,8,23,80,15895,6343,506692,316955,162903,265165.0,752.0,731.0,392.0,5591.0,632.0,,735.0,26,,2063.0,350.0,40951.0,170481.0,243.0,73.0,632600,379687,64804,14223.0,7102.0,1183.0,913.0
123,周口市,Zhoukou,1259,1258,339,170358,73769,7.67,11961,256310,59.0,16.0,17.72,3201.0,574.0,38.57,1387.0,1928.0,2010.0,1739.0,99.0,58.0,92.99,96.01,26872100,30817,8.2,16.71,45.13,38.17,1293356.0,6186475.0,38983.0,1136803.0,353303.0,1076824.0,2942.0,128746.0,30396225,24601741,12374915,2378914,1988503,693,612,283,160950,10,56192,1305,1282,11,12,9617505,,,,4337376,13225672,420,3975704,5543.0,118247,2951.0,1677.0,79.0,599291,833260,28758,1388,259539,338364,0.23,43.31,56.46,1388,,,158904,6815,93820,25349,21914,2281,5561,15717,11325,11844,3099,3213,8231,1043,105744,39328,3166,91874,58,3210156,55539,3,28,533,1914,2294,3309,50055,54894,44470,55477,68,94,121,15,3,198,33280,17602,632761,549631,371012,222917.0,905.0,710.0,729.0,3300.0,928.0,4671.0,66.0,,15080.0,2600.0,,98119.0,415704.0,677.0,169.0,1143339,457285,131439,9052.0,2807.0,4700.0,4700.0
124,沈阳市,Shenyang,746,741,279,59304,63812,-0.6,12860,132000,630.0,186.0,12.31,22533.0,7239.0,39.23,,,,,,,94.95,100.0,62923981,75766,5.41,4.13,37.77,58.1,7206425.0,9654417.0,181126.0,1152055.0,5971244.0,4602511.0,57544.0,768852.0,175536199,72881388,147268394,9967210,7750614,1355,1203,472,6421482,162,143097,,,,,,,,,,40512312,1606,90072121,54179.0,1687755,23826.0,12582.0,2943.0,1182341,1988990,96465,2452,436747,743142,0.21,36.94,62.85,2452,19323,19281,269895,25238,122291,73274,111626,26361,23905,72852,72818,24554,30357,42147,25688,7253,111834,76303,13946,103042,108,8892956,82067,47,93,299,275,26564,6200,25362,22944,391152,95241,28,39,1471,13,19,274,64835,30126,4253014,33712821,1432098,,8295.0,6626.0,5912.0,110200.0,17544.0,14449.0,,714,23034.0,,59905.0,460439.0,990255.0,1318.0,238.0,3574457,1722891,510217,107195.0,27977.0,64608.0,45992.0
125,黄山市,Huangshan,149,149,51,15963,10825,3.46,9678,901200,56.0,21.0,2.37,13410.0,618.0,47.15,726.0,2838.0,577.0,2348.0,97.9,24.0,96.2,100.0,6779143,48579,7.7,8.39,34.9,56.71,776148.0,1856147.0,58540.0,200360.0,477648.0,958763.0,28682.0,84708.0,12667445,7383167,8290946,1511625,1045178,213,183,95,122027,12,20014,528,510,6,12,2049676,960296,29050,134652,218368,3774406,184,1344596,3131.0,58156,2185.0,1097.0,152.0,120978,307844,4265,419,42151,78408,0.35,34.84,64.81,419,,,18442,1307,22402,3176,3952,3594,1869,8163,5500,3282,1521,1333,2763,72,14131,9550,2012,22990,11,835377,76269,2,16,115,132,1068,516,4938,5029,22630,15753,5,7,122,54,10,32,6735,3440,271380,212577,113762,123227.0,1036.0,822.0,326.0,1596.0,625.0,2868.0,125.0,76,5525.0,64.0,2251.0,17613.0,104202.0,139.0,45.0,368373,170703,44850,1443.0,247.0,7098.0,6898.0
126,吉林市,Jilin,414,414,157,24274,17498,1.64,27711,966900,192.0,59.0,5.09,6734.0,1549.0,39.0,8735.0,23212.0,34182.0,28768.0,35.39,,97.15,87.0,22102386,53452,2.37,6.66,34.53,58.81,1042758.0,4119428.0,20098.0,629735.0,805979.0,2159377.0,17419.0,297735.0,26800216,19994033,20997949,1119451,908750,277,252,122,214964,11,915,1077,1052,7,18,16032341,16032341,913022,554505,490439,13671032,544,3787111,7273.0,,2693.0,1237.0,235.0,341815,520041,34893,9542,127944,204329,2.79,37.43,59.78,9542,7125,,88778,10417,21624,8138,9826,2380,4859,11790,X940,5371,2505,5622,6406,370,53134,32834,3146,57948,34,2256943,66592,8,34,185,553,5682,2686,15239,13549,104764,25741,15,17,328,16,,172,26193,13368,1315392,946391,426083,149789.0,1657.0,1094.0,1552.0,25036.0,5259.0,3301.0,54.0,,6216.0,,,95498.0,276440.0,466.0,101.0,1538218,1132385,127998,57838.0,4838.0,42515.0,903.0
127,德州市,Dczhou,598,597,195,80593,37833,7.15,10358,154389,158.0,43.0,9.02,6505.0,2234.0,42.5,8507.0,32793.0,27397.0,13981.0,92.5,56.0,97.28,100.0,33803000,58252,6.69,9.47,47.71,42.82,2025166.0,4141460.0,137460.0,729861.0,666006.0,760105.0,43041.0,155983.0,34363383,22695137,19531306,2992822,2482847,816,729,87,1050660,29,20774,2922,2850,19,53,16578061,23715183,435514,623297,2137375,15255078,966,5946850,20173.0,667516,7487.0,3854.0,286.0,484610,277159,19998,343,214587,269680,0.07,44.28,55.65,343,2895,,154933,6534,50225,19382,11693,4993,4059,19401,14806,10261,3798,4972,7999,907,62550,30747,2787,86131,47,2961750,62690,4,30,197,706,3238,2765,23692,27248,63606,45644,31,42,190,15,19,110,18047,14537,889687,732822,404635,161625.0,2932.0,2182.0,652.0,3200.0,2405.0,1894.0,14.0,,16519.0,52.0,,138500.0,275905.0,508.0,145.0,2167721,1489563,157053,32088.0,11115.0,7810.0,7751.0
128,温州市,Wenzhou,829,827,239,107475,48802,7.08,12110,1284668,192.0,54.0,14.41,9164.0,2858.0,38.69,4022.0,7046.0,8138.0,1585.0,98.49,27.0,95.18,100.0,60061616,65055,7.77,2.36,39.62,58.02,5475765.0,8741367.0,182536.0,1889937.0,2336655.0,2960257.0,102533.0,632481.0,117366643,66209185,99704995,11765738,9192170,1166,976,,2047219,89,52307,4618,4484,56,78,28022270,,244667,1443435,2553866,33371088,2235,41170657,66444.0,1091257,53394.0,38181.0,3415.0,1073555,2478663,33188,751,599330,473474,0.07,55.83,44.1,751,76,,246838,16984,335432,19670,34714,8142,7125,60196,54640,20424,29327,8540,6836,1072,105779,59197,6334,106118,89,7389994,82837,11,37,443,562,5719,4687,33031,36215,88810,80762,39,63,1244,47,36,145,37414,28387,2949827,1935609,1240558,1324817.0,,3436.0,2535.0,26423.0,3985.0,20831.0,26.0,589,11700.0,4271.0,47825.0,779497.0,1190897.0,1239.0,410.0,4233012,2501850,519364,22598.0,2623.0,61599.0,33209.0
129,泉州市,Quanzhou,755,749,209,165498,28973,18.08,11015,785100,268.0,88.0,31.35,9564.0,2050.0,43.2,9566.0,14826.0,46606.0,25730.0,96.53,27.0,91.66,100.0,84679768,97614,8.85,2.38,57.69,39.93,4741639.0,6323844.0,146891.0,1480850.0,1471781.0,1847534.0,42974.0,381276.0,68670403,37797349,63754626,7914050,5696174,1416,1187,379,6610568,280,59584,4769,3483,986,300,48299018,22866618,1986863,3692131,13582039,34078885,2827,59755216,35769.0,947743,61803.0,39930.0,8658.0,1446869,1721579,22855,3100,1073010,370759,0.21,74.16,25.62,3100,1452,1105,660623,7083,403852,45095,26378,17566,8768,22253,17361,20021,15980,4596,4867,1029,97451,32332,4361,70062,138,9089776,65915,18,32,330,1338,7222,2995,31565,33695,130296,80090,42,77,506,12,92,131,26596,17114,1331293,1144629,680296,499491.0,3748.0,1644.0,2058.0,8863.0,1918.0,4898.0,16.0,744,17427.0,12737.0,63800.0,879918.0,985349.0,1008.0,351.0,5007371,3396524,359553,22769.0,1240.0,37318.0,18827.0
130,常德市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,百色市,Baise,421,419,111,65974,27023,9.25,36202,2510000,49.0,16.0,1.32,2012.0,348.0,30.17,2315.0,26514.0,15256.0,7219.0,17.32,37.0,90.16,100.0,11767732,32170,7.1,16.59,47.88,35.53,847230.0,3937169.0,24424.0,708417.0,195648.0,625210.0,3269.0,115605.0,12732436,7989992,10133659,908644,669193,313,291,75,411597,2,146,368,355,12,1,5971189,9137674,78546,237585,502896,2972708,299,3108616,1897.0,28457,1421.0,645.0,131.0,222105,377999,2336,2054,57957,162094,0.92,26.09,72.98,2054,13156,10118,24505,7359,12937,6193,8210,1363,1411,5048,2948,2314,4543,1633,5685,468,44623,25614,1018,53971,22,1463544,67866,5,17,162,472,2524,1006,14798,18700,47976,39948,25,34,187,15,14,36,11519,6647,272302,342449,145907,63208.0,693.0,566.0,264.0,2385.0,492.0,3692.0,1.0,18,10363.0,350.0,,43207.0,235072.0,341.0,74.0,3183021,2794453,119281,975.0,277.0,7274.0,7250.0
132,东莞市,Dongguan,232,221,65,41033,10286,13.28,2460,238890,,,,,,,19341.0,24132.0,29277.0,20110.0,66.32,36.0,94.5,100.0,82785920,98939,7.42,0.3,48.65,51.05,6499110.0,7654053.0,393445.0,1554296.0,,,,,134305611,56013557,79996011,7367857,5258491,690,535,315,54630602,1400,127247,7704,4561,2085,1058,103009892,,741458,2661006,6119749,29056119,3186,57454728,118059.0,2363205,97030.0,65985.0,6716.0,2424150,4669220,13378,316,1938219,485615,0.01,79.95,20.03,316,32,,1854191,9905,74091,76508,33046,28322,11574,29798,,34319,66259,18293,7019,12650,45194,50958,5873,65802,245,17152468,69937,9,28,240,328,5454,3863,21602,37894,121408,82311,33,80,1096,48,,102,30239,19516,5809857,5832967,4186677,,,,,,,3360.0,24.0,,10975.0,6298.0,,1891786.0,1758353.0,1893.0,182.0,8066430,5803832,483904,,,,
133,洛阳市,Luoyang,740,739,217,95006,45909,6.63,15236,188309,218.0,83.0,24.8,,2594.0,43.76,4339.0,13353.0,14616.0,8066.0,77.03,59.0,98.8,100.0,46407821,67707,7.9,5.11,44.55,50.34,3426605.0,5974673.0,190121.0,1086694.0,1932846.0,2868500.0,116380.0,403715.0,58240929,31360760,40724637,3131271,2253647,812,661,121,102924,28,294089,1888,1848,19,21,27617535,22892456,1362153,1059899,3886474,21549186,806,12494195,35025.0,993581,13884.0,8789.0,1543.0,683673,1039732,82357,701,330062,352910,0.1,48.28,51.62,701,10801,10,226343,15898,77020,26046,18072,6513,12208,16158,13257,17763,7218,21821,8314,540,73138,46437,5804,92878,59,3993741,65974,7,76,399,845,7123,3899,35485,28631,126250,102455,42,60,381,68,15,154,38026,19481,861278,1178296,640109,914995.0,3017.0,1935.0,1569.0,23200.0,4268.0,10663.0,26.0,131,26250.0,74.0,1326.0,188300.0,499260.0,743.0,274.0,4354348,3421372,259582,45000.0,9000.0,16818.0,12674.0
134,七台河市,Qitaihe,78,78,36,4090,4641,-0.71,6190,88579,68.0,39.0,1.79,2730.0,527.0,44.43,388.0,7076.0,14216.0,6383.0,79.8,32.0,94,100.0,2503258,32028,5.6,12.35,39.87,47.79,274750.0,942751.0,1526.0,85621.0,242800.0,656360.0,1411.0,63046.0,4478191,3292127,2465707,35677,17823,14,12,44,3483,,511,78,77,,1,2335488,1573398,39931,164922,98096,1109230,20,299852,,,289.0,238.0,13.0,88744,160651,10049,6714,40545,41485,7.57,45.69,46.75,6714,32184,31334,4507,2312,1542,1243,3459,103,1030,5969,5385,491,769,979,2042,203,7252,5132,705,12108,8,474535,58334,1,2,45,32,127,30,2998,2149,3193,206,4,3,33,I,5,27,4131,1761,192625,167472,100268,,487.0,210.0,434.0,8679.0,1000.0,486.0,,,1109.0,,,7418.0,51038.0,93.0,20.0,265343,202931,14159,2701.0,1653.0,1325.0,1230.0
135,遵义市,Zunyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4449264,2983634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,齐齐哈尔市,Qiqihar,530,532,215,25992,28824,-0.53,42469,632300,368.0,,8.43,6097.0,1091.0,38.28,,,,,,,,,13401571,26271,6.23,22.83,26.05,51.13,748969.0,4828943.0,11429.0,589425.0,457393.0,1683579.0,9205.0,204226.0,19746613,14676132,14378182,610446,485338,140,125,220,54349,3,10214,314,297,5,12,7714671,5621346,62871,189534,328079,8531565,173,2436649,,,,,,349287,485279,39629,43204,75180,230903,12.37,21.52,66.11,43204,463,24,52906,12561,9250,9383,41277,452,5139,25453,22186,3938,4756,5167,12638,839,44745,28150,3830,45136,31,1977301,63738,6,20,238,186,3378,1069,18297,9827,53741,11499,18,19,244,15,14,114,26749,10333,573463,733789,198938,,,,905.0,9823.0,2569.0,3099.0,5.0,41,12128.0,4.0,3420.0,58700.0,230100.0,413.0,94.0,892496,451300,145347,,,,
137,池州市,Chizhou,162,162,52,16770,10734,3.72,8399,668100,40.0,14.0,1.58,1553.0,545.0,43.5,528.0,8237.0,15584.0,13475.0,94.91,44.0,95.24,100.0,6849253,46865,5.66,10.94,42.29,46.77,644920.0,1544335.0,25808.0,220244.0,380604.0,806726.0,15606.0,99928.0,10085120,6622261,6097439,747027,610488,181,163,80,367085,31,39588,565,550,5,10,2720269,2643335,67201,257101,834564,2555016,206,1195613,3659.0,73254,4617.0,1780.0,150.0,113349,172829,5641,717,44814,67818,0.63,39.54,59.83,717,1391,1088,25623,909,16891,4388,4166,1059,1467,9492,7499,2447,1080,1932,1147,1035,14301,7048,767,17489,10,726618,70720,3,7,98,201,1178,570,5897,5414,26115,11476,8,8,61,5,14,33,5913,3001,214800,150546,87831,131993.0,793.0,791.0,163.0,1851.0,600.0,1197.0,6.0,45,4110.0,6553.0,836.0,37799.0,97553.0,134.0,42.0,667046,507469,32532,3102.0,1165.0,2650.0,1420.0
138,成都市,Chengdu,1476,1456,563,182757,136559,3.13,14335,,848.0,288.0,23.06,34094.0,11173.0,41.33,7911.0,7741.0,15961.0,8541.0,73.17,51.0,,99.0,153427716,94782,8,3.41,42.47,54.12,14241550.0,18374238.0,730705.0,2658194.0,10281278.0,10563184.0,507779.0,1629718.0,366561480,131414672,314229604,,,3682,2659,1019,22362832,494,1227500,3438,3155,92,191,79393066,27736491,3237489,2923516,6719220,68018100,1599,85377983,143289.0,3923101,107801.0,57370.0,8304.0,6135401,3054922,204718,54220,1973831,4107350,0.88,32.17,66.95,54220,22470,,1057504,60311,833546,892419,457311,460151,331444,124739,,220178,333161,187831,55957,290701,266082,200592,78511,208273,248,21830225,88011,57,86,609,590,49448,9453,51776,53673,840297,199494,60,99,2293,35,,892,135812,61548,8179100,8507800,4897400,9206995.0,11899.0,11647.0,15903.0,161946.0,14964.0,9434.0,40.0,5295,28207.0,16.0,665000.0,1289200.0,2266342.0,2867.0,679.0,6374116,2896822,1003850,358046.0,160178.0,126674.0,51727.0
139,延安市,Yan'an,234,236,86,28009,11078,7.23,37037,115000,41.0,14.0,0.63,1575.0,520.0,40.76,1198.0,6301.0,4845.0,2233.0,44.14,32.0,87.91,97.82,15589120,68940,9.1,8.86,59.4,31.74,1483398.0,3976883.0,22528.0,627916.0,230992.0,544680.0,2913.0,128597.0,16091496,9486939,11871361,1311682,781280,93,88,55,11864,,2332,202,199,1,2,19673300,33103400,3127100,747000,5190300,3149784,359,2889945,,,1143.0,669.0,43.0,306899,403480,10254,1429,133545,171925,0.47,43.51,56.02,1429,70352,390,28025,8250,26918,11422,10378,5694,2527,3928,2240,5569,6578,4210,5425,749,35198,19608,5502,55137,24,1800255,74066,2,14,112,251,1313,814,10535,12214,24540,17381,13,22,102,47,24,61,10480,5400,261901,316176,208528,142290.0,599.0,164.0,501.0,13483.0,1100.0,3054.0,,39,4766.0,,582.0,34300.0,252059.0,268.0,183.0,969387,682947,67670,26882.0,12846.0,6270.0,4217.0
140,惠州市,Huizhou,381,375,106,65420,12443,13.91,11347,1255300,270.0,86.0,10.01,11042.0,4021.0,43.4,,,,,,28.0,,100.0,41030532,85418,6,4.29,52.68,43.03,3930058.0,5442151.0,221734.0,1069211.0,3026551.0,3520919.0,169535.0,642870.0,58396518,23611950,46508367,9839417,8098066,1663,1576,372,11258173,2006,634865,2376,1477,668,231,36744179,,1276113,1216175,3373981,14789690,699,9483150,,,21643.0,14705.0,1445.0,951290,1267931,22798,836,643100,307354,0.09,67.6,32.31,836,18,,613887,9724,19471,24138,19912,8684,7597,38739,34491,26862,7199,6701,7245,1622,53939,31340,3736,69640,93,7191835,77634,5,36,271,468,2111,2971,21801,28903,44018,80619,31,58,241,6,35,76,15916,13339,1945151,1565756,1276225,353290.0,3114.0,3568.0,3200.0,34083.0,1866.0,6616.0,,,12070.0,14010.0,,334939.0,664942.0,722.0,199.0,4083826,2864193,373461,17091.0,10351.0,47559.0,36026.0
141,沧州市,Cangzhou,783,780,242,92254,22318,8.93,14304,87000,84.0,32.0,42.0,2788.0,758.0,37.74,3366.0,11504.0,18969.0,19408.0,99.41,60.0,99.91,100.0,36764121,48562,6.4,7.5,42.98,49.52,2633942.0,6222522.0,57651.0,1306344.0,1199100.0,1876243.0,38717.0,331475.0,50975704,36510230,29848006,,,359,313,20,1194954,35,67250,1956,1877,25,54,17672861,20227090,1348374,846631,1793517,14298762,426,7962718,,,6943.0,4898.0,216.0,455099,350570,22113,26,129691,325382,().01,28.5,71.5,,21432,,55318,13580,39361,13888,14695,2017,3933,35766,31773,5207,11536,17984,7930,988,86425,36427,4412,84174,42,3064229,73826,8,42,323,1335,3562,3598,27321,40165,68440,80078,40,76,225,10,30,197,33884,20909,1116806,730679,381052,74710.0,1175.0,649.0,1085.0,12550.0,2451.0,4467.0,,,25907.0,999.0,,217726.0,403513.0,780.0,214.0,3385062,2259408,160059,14752.0,5762.0,3321.0,3321.0
142,厦门市,Xiamen,243,237,78,46624,9580,15.27,1701,94220,389.0,104.0,22.87,22964.0,5197.0,45.12,23546.0,847.0,2765.0,639.0,87.41,25.0,94.35,100.0,47914131,118015,7.7,0.51,41.33,58.16,7545412.0,8924985.0,285559.0,1363853.0,7545412.0,8924985.0,285559.0,1363853.0,104467952,26101770,97596068,8845759,5363167,529,171,257,26635376,1215,172500,1985,1294,371,320,38576099,14731577,860991,858391,3376144,15424224,1960,128067305,71163.0,1551482,32234.0,21393.0,2214.0,1555914,2687690,28400,1797,968193,585924,0.12,62.23,37.66,1797,15,15,455171,5278,507729,82460,73962,40506,39166,35443,35443,55851,46816,21572,16786,15844,72472,31194,10361,43491,146,12140997,85166,16,20,97,301,9324,2342,12178,17211,162459,41097,17,33,652,4,65,54,15342,13830,2680600,2574000,2245000,7776440.0,5450.0,3534.0,4632.0,80139.0,5482.0,3951.0,742.0,2655,20900.0,9904.0,345500.0,703600.0,3287200.0,631.0,238.0,2695890,1356545,419728,33701.0,4446.0,119072.0,40317.0
143,庆阳市,Qingyang,270,270,83,38541,16156,8.29,27117,,25.0,5.0,2.51,887.0,245.0,31.9,177.0,3879.0,1985.0,1708.0,90.3,32.0,94.59,98.7,7081499,31312,3.6,10.03,50.22,39.75,530859.0,2516875.0,10365.0,445427.0,89055.0,277141.0,1892.0,64172.0,10462403,7879647,6866711,450242,331063,108,93,28,,,,109,108,,1,1228566,6810970,690123,321484,881771,2536303,96,714973,1210.0,4837,1550.0,747.0,11.0,162095,148230,17656,417,49000,112678,0.26,30.23,69.51,417,19121,18245,2827,6007,21045,4021,5812,1744,1894,5004,1931,783,325,2077,2563,22,35109,10408,1588,41328,15,1094169,73919,3,13,163,744,1099,1201,11476,15223,22029,13693,13,20,79,15,6,44,9619,4773,73575,143025,82813,8353.0,350.0,250.0,150.0,1760.0,1079.0,3516.0,,42,4360.0,,67.0,19222.0,149716.0,234.0,52.0,399783,231163,22251,3840.0,,2174.0,1522.0
144,海口市,Haikou,178,174,57,29446,11281,10.23,2289,264200,141.0,54.0,6.16,6676.0,1958.0,41.0,594.0,324.0,401.0,72.0,87.2,18.0,96.9,100.0,15105130,66042,7.6,4.18,18.27,77.54,1698793.0,2382473.0,24995.0,366352.0,1698793.0,2382473.0,24995.0,366352.0,48425311,17064586,48582014,6094170,4193096,393,331,170,2739338,93,25360,147,115,14,18,4393793,2121861,193572,306303,345573,7575587,230,10572034,7445.0,143314,4260.0,2234.0,327.0,506099,961774,10111,24851,92477,388771,4.91,18.27,76.82,24851,80,80,41777,10748,39872,37145,55550,17473,15226,33477,33477,50331,14135,13152,16422,2365,46097,31287,8131,47980,49,3795246,77632,12,49,113,159,7016,2654,9599,8578,151485,74867,13,21,31,8,4,47,14470,9030,723135,532777,489772,450505.0,1842.0,1761.0,2305.0,14257.0,2956.0,2548.0,930.0,3645,4678.0,6141.0,403719.0,138542.0,395606.0,375.0,98.0,774798,136710,92219,15961.0,6781.0,47261.0,47255.0
145,扬州市,Yangzhou,459,459,148,33665,33886,-0.05,6591,215600,171.0,47.0,7.42,8540.0,2318.0,44.0,7366.0,15588.0,27260.0,11899.0,96.0,,88,100.0,54661700,120944,6.7,5,47.99,47.01,3400339.0,5633867.0,160500.0,933186.0,2247248.0,3515889.0,84169.0,541398.0,59975530,28606486,46305054,6209779,4558687,746,665,196,2273880,135,122044,2992,2655,164,173,27230000,22945099,664240,2474596,4248800,15570299,927,13142594,,,42792.0,22804.0,1346.0,970636,1051639,23124,119,738475,232042,0.01,76.08,23.91,119,6499,6499,217631,6530,507815,16748,18039,8379,9520,15536,9982,10262,16736,10369,6084,1140,45857,16581,3397,53394,92,6957220,75996,9,7,168,208,5473,1494,16215,13369,78957,23494,18,21,467,16,24,80,17119,11209,1509112,1365445,670328,626013.0,2794.0,2797.0,2214.0,19359.0,2461.0,3094.0,6.0,238,7634.0,6493.0,11137.0,276063.0,458482.0,508.0,181.0,2489850,1656353,235271,25286.0,8723.0,15622.0,12834.0
